item_description,price,stars,review_count
DELL Inspiron 3493 14-inch HD Thin & Light Laptop (10th Gen i3-1005G1/4GB/1TB HDD/Win 10 + MS Office/Intel HD Graphics/Silver) D560193WIN9SE,"33,990",2.7 out of 5 stars,315
"AVITA Essential NE14A2INC433-CR 14-inch Laptop (Celeron N4000/4GB/128GB SSD/Window 10 Home in S Mode/Integrated Graphics), Concrete Grey","19,990",4.0 out of 5 stars,117
DELL Inspiron 3583 15.6inch HD Laptop (Pentium Gold 5405U/4GB/1TB HDD/Win10 + MS Office/Intel UHD Graphics/ Silver) SLV-C563119WIN9,"26,990",3.1 out of 5 stars,33
"Lenovo IdeaPad Slim 3 AMD 3020e 15.6 inch HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/Integrated AMD Radeon Graphics/Platinum Grey/1.85Kg), 81W100VFIN","28,799",3.6 out of 5 stars,99
"ASUS VivoBook Ultra 15 (2020) Intel Core i3-1115G4 11th Gen 15.6-inch FHD Thin and Light Laptop (8GB/256GB NVMe SSD/Integrated Graphics/Windows 10/MS Office 2019/Star Black/1.8 kg), X513EA-EJ332TS","43,990",star rating is not available,No reviews Yet!!
"(Renewed) Lenovo Thinkpad Laptop X250 Intel Core i3 - 5010u Processor, 4 GB Ram & 128 GB ssd, Win10, 13.3 Inches 1.3 KG Ultralight Computer","19,990",star rating is not available,No reviews Yet!!
"HP 14 Ultra Thin & Light 14-inch Laptop (10th Gen i3-1005G1/8GB/256GB SSD/Win 10 Home/MS Office/1.47 Kg/Jet Black), 14s-cf3074TU","35,990",3.9 out of 5 stars,131
"Lenovo V145-AMD-A6 15.6 inch HD Laptop (4GB RAM/ 1TB HDD/ Windows 10 Home/ Black/ 2.1 kg), 81MT006YIH","25,850",5.0 out of 5 stars,1
"ASUS VivoBook 14 Intel Core i3-1005G1 10th Gen 14-inch FHD Compact and Light Laptop (8GB RAM/1TB HDD + 128GB NVMe SSD/Windows 10/Integrated Graphics/Slate Grey/1.60 kg), X409JA-EK373T","37,990",star rating is not available,No reviews Yet!!
"SellZone Laptop DDR4 16GB RAM for Dell, Asus, HP, Lenovo, Acer Laptops","4,849",star rating is not available,No reviews Yet!!
"SellZone Laptop DDR3 8GB RAM for Dell, Asus, HP, Lenovo, Acer Laptops","2,999",star rating is not available,No reviews Yet!!
Dell Inspiron 3595 15.6-inch HD Laptop (A9-9425/4GB/1TB HDD/Win 10 + MS Office/Radeon R5 Integrated Graphics/Silver) D560167WIN9SE,Price is not available,3.0 out of 5 stars,237
"(Renewed) Lenovo Thinkpad Laptop X250 Intel Core i3 - 5010u Processor, 8 GB Ram & 256 GB ssd, Win10, 13.3 Inches 1.3 KG Ultralight Computer","24,990",star rating is not available,No reviews Yet!!
HP 245 G7 Laptop 2D8C6PA (AMD Ryzen 3-3300U/4GB Ram/ 1TB HDD/ 14.0 inch HD /Windows-10/AMD Radeon Vega 6 Graphics/ Dark Ash Silver/1.52Kg),"29,390",3.0 out of 5 stars,22
(Renewed) Dell Vostro 14 3000 3490 Laptop/Intel 10th Gen Ci3-10110U/14.0inch HD/1TB/8GB/Int/Win 10 Home/Black - LCD Back Cover,"34,999",star rating is not available,No reviews Yet!!
"Coconics Enabler Celeron N4000 11.6"" FHD Laptop (4GB RAM/64GB eMMC/Ubuntu/Black/990 GMS)","16,839",3.5 out of 5 stars,6
"Acer Aspire 3 Thin AMD A4 15.6-inch Laptop (4GB/1TB HDD/Windows 10/Charcoal Black/1.9kg), A315-22","28,990",2.8 out of 5 stars,500
Dell Inspiron 3480 14-inch HD Laptop (Intel Pentium Gold 5405U/4GB/256GB SSD/Win 10 + MS Office/NA Graphics/Black) D560168WIN9BE,"29,990",3.9 out of 5 stars,37
"HP 15 db1069AU 15.6-inch Laptop (3rd Gen Ryzen 3 3200U/4GB/1TB HDD/Windows 10/MS Office/Radeon Vega 3 Graphics), Jet Black","29,999",3.4 out of 5 stars,275
"SellZone Laptop DDR2 2GB RAM for Dell, Asus, HP, Lenovo, Acer Laptops",629,star rating is not available,No reviews Yet!!
